Challenge,Response
0x1A2B3C,1
0x4F5E6D,0
0x9ABCDE,1
0x123456,0
0xFEDCBA,1
0xA1B2C3,0
0xC0FFEE,1
0xDEADBE,0
0x00FACE,1
0xABCDEF,0
0x13579B,1
0x2468AC,0
0x55AA55,1
0xAA55AA,0
0xCAFEB0,1
0xBABE01,0
0x0F0F0F,1
0xF0F0F0,0
0xABCDE1,1
0x1357AC,0
0x2468BD,1
0x999999,0
0x111111,1
0x222222,0
0x333333,1
0x444444,0
0x555555,1
0x666666,0
0x777777,1
0x888888,0
0xAAAAAA,1
0xBBBBBB,0
0xCCCCCC,1
0xDDDDDD,0
0xEEEEEE,1
0xFFFFFF,0
0x000000,1
0xABC123,0
0x123ABC,1
0xFACE00,0
0xBEEF01,1
0xC001D0,0
0xD15EA5,1
0x5A5A5A,0
0xA5A5A5,1
0x0BADC0,0
0xC0FF33,1
0xDEAD00,0
0x1C1C1C,1
0xE5E5E5,0
